,open,high,low,close,volume
20160608,21889,22110,21885,22110,8773351
20160607,21632,21902,21632,21889,6550387
20160603,21606,21623,21535,21601,5347856
20160602,21517,21570,21486,21566,5167966
20160601,21446,21553,21398,21526,5970206
20160531,21314,21513,21221,21513,5222869
20160530,21389,21389,21238,21340,4556885
20160527,21314,21398,21274,21389,5330140
20160526,21327,21371,21252,21278,7805712
20160525,21145,21331,21141,21318,8264864
20160524,21145,21145,21017,21021,4119605
20160523,21150,21199,21013,21172,3750532
20160520,21083,21172,21061,21114,2773025
20160519,21106,21159,21079,21114,4883420
20160518,21234,21234,21052,21172,7360968
20160517,21309,21318,21212,21291,4095795
20160516,21190,21336,21172,21278,9313007
20160513,21407,21415,21212,21247,4631811
20160512,21393,21477,21327,21415,7580831
20160511,21553,21557,21358,21464,5465085
20160510,21358,21486,21349,21486,4391191
20160509,21438,21473,21358,21402,6756628
20160504,21446,21504,21376,21438,4963728
20160503,21570,21588,21491,21548,5452450
20160502,21601,21606,21469,21482,5287529
20160429,21716,21739,21553,21646,4634587
20160428,22053,22053,21716,21716,9378868
20160427,21935,21974,21922,21944,4932268
20160426,21874,22022,21857,21944,2481785
20160425,21909,21918,21809,21878,4776663
20160422,21913,21970,21874,21905,4608403
20160421,21918,22035,21900,21987,3679426
20160420,21926,22031,21818,21818,3917113
20160419,21926,21996,21878,21891,3977935
20160418,21774,21878,21735,21861,4098999
20160415,21939,22005,21913,21935,9695743
20160414,21835,21961,21778,21952,7821228
20160412,21348,21526,21331,21513,4355155
20160411,21322,21379,21235,21344,5164191
20160408,21244,21348,21144,21326,4803030
20160407,21439,21479,21283,21370,3752265
20160406,21248,21396,21239,21357,6631856
20160405,21370,21379,21226,21248,3721050
20160404,21405,21452,21357,21426,5216232
20160401,21670,21687,21387,21387,6755255
20160331,21826,21831,21635,21696,7096027
20160330,21787,21844,21765,21787,9945842
20160329,21579,21718,21579,21692,8560360
20160328,21544,21644,21535,21579,3573643
20160325,21622,21631,21535,21544,4301064
20160324,21574,21648,21496,21583,5142756
20160323,21665,21735,21609,21639,5772164
20160322,21600,21657,21557,21657,3901040
20160321,21652,21705,21483,21548,4245773
20160318,21657,21661,21531,21574,6368897
20160317,21535,21744,21522,21561,15742119
20160316,21439,21539,21392,21444,5876960
20160315,21405,21470,21318,21387,6056042
20160314,21544,21544,21387,21405,9403336
20160311,21383,21465,21357,21422,7365922
20160310,21222,21479,21205,21374,9263218
20160309,21048,21179,21013,21179,6068157
20160308,21266,21274,21022,21087,6943328
20160307,21235,21283,21222,21235,6957277
20160304,21187,21244,21148,21192,7677202
20160303,21170,21192,21131,21187,12619790
20160302,21048,21139,21031,21122,10560452
20160229,20774,20905,20744,20805,7026888
20160226,20879,20926,20787,20831,7025399
20160225,20809,20953,20713,20787,6703112
20160224,20757,20840,20674,20766,6048275
20160223,20887,20896,20735,20783,6465696
20160222,20692,20848,20653,20779,8204237
20160219,20666,20766,20666,20744,9757417
20160218,20800,20800,20683,20700,8663943
20160217,20453,20627,20427,20527,7509817
20160216,20222,20544,20222,20500,6918651
20160215,20153,20261,20109,20205,13550179
20160212,19983,20070,19801,19944,24272572
20160211,20205,20231,20044,20092,10356966
20160205,20566,20705,20548,20648,7839012
20160204,20366,20613,20340,20596,10044898
20160203,20244,20261,20127,20222,4463468
20160202,20522,20600,20440,20457,5614531
20160201,20557,20696,20513,20600,7533199
20160129,20357,20457,20231,20453,6941540
20160128,20240,20444,20157,20422,10119530
20160127,20270,20431,20253,20392,11319533
20160126,20248,20270,19996,20109,8183382
20160125,20331,20479,20248,20366,8111838
20160122,20022,20257,20009,20257,12290095
20160121,19883,20031,19818,19827,24916960
20160120,20244,20266,19740,19874,21456902
20160119,20231,20340,20053,20340,8616484
20160118,20040,20266,19966,20231,15344275
20160115,20631,20674,20153,20248,16917528
20160114,20422,20461,20270,20461,13507905
20160113,20466,20700,20461,20657,7208137
20160112,20527,20579,20331,20370,13207935
20160111,20400,20505,20348,20431,12605054
20160108,20396,20683,20353,20661,14097649
20160107,20670,20748,20466,20518,12897844
20160106,20866,20887,20609,20713,12508688
20160105,20696,20939,20696,20866,14285159
20160104,21096,21105,20735,20735,7968836
20151230,21326,21379,21157,21166,8764531
20151229,21135,21274,21061,21274,5690403
20151228,21387,21418,21083,21083,7242969
20151224,21609,21631,21370,21370,13140339
20151223,21352,21565,21326,21509,10342296
20151222,21226,21326,21118,21292,6017978
20151221,21187,21331,21053,21261,5466433
20151218,21026,21274,21013,21166,4714515
20151217,21326,21392,21148,21205,9561961
20151216,20987,21300,20961,21231,9854189
20151215,20853,20892,20757,20813,6096632
20151214,20774,20792,20640,20774,8408569
20151211,20957,21092,20896,20953,6390745
20151210,20866,21048,20796,20996,10319319
20151209,20892,20944,20835,20870,4204597
20151208,20953,21070,20835,20874,7641103
20151207,21192,21209,20974,20974,6557080
20151204,21035,21161,21022,21048,11536676
20151203,21335,21335,21135,21274,7254440
20151202,21605,21618,21465,21465,5057181
20151201,21352,21639,21352,21605,7731043
20151130,21609,21613,21196,21292,6256661
20151127,21774,21800,21692,21705,8304473
20151126,21522,21765,21518,21757,5598926
20151125,21509,21522,21422,21505,4768000
20151124,21426,21531,21418,21522,3997222
20151123,21331,21465,21322,21426,3278504
20151120,21287,21331,21252,21287,3164841
20151119,21161,21266,21074,21252,3823911
20151118,20979,21070,20957,20970,3569355
20151117,21035,21092,20957,21026,7419615
20151116,20848,20983,20835,20848,7283115
20151113,21148,21218,21083,21083,4392716
20151112,21335,21387,21292,21379,4233230
20151111,21331,21418,21231,21344,7078758
20151110,21574,21574,21361,21374,4999815
20151109,21713,21757,21605,21692,6119439
20151106,21878,21935,21722,21774,4277028
20151105,21896,21935,21792,21918,5450013
20151104,22022,22057,21865,21948,8946527
20151103,21891,22022,21878,21952,5192787
20151102,21731,21796,21661,21748,3805732
20151030,21639,21818,21626,21800,8025475
20151029,21765,22000,21635,21700,6706945
20151028,21765,21765,21592,21748,4175193
20151027,21739,21792,21644,21761,3669656
20151026,21826,21826,21731,21770,6189121
20151023,21770,21883,21683,21718,9065144
20151022,21609,21674,21509,21552,10222992
20151021,21574,21826,21574,21670,9634662
20151020,21518,21626,21483,21583,3878724
20151019,21583,21613,21439,21535,6133669
20151016,21613,21622,21483,21526,8042120
20151015,21322,21657,21309,21565,6964250
20151014,21370,21383,21209,21326,5702266
20151013,21439,21522,21339,21405,9109260
20151012,21405,21565,21357,21457,10903721
20151008,21266,21344,21174,21331,13885631
20151007,20909,21187,20909,21179,8391223
20151006,20900,20966,20835,20861,6937029
20151005,20726,20931,20635,20666,6423370
20151002,20757,20800,20622,20644,8751010
20151001,20540,20896,20487,20779,7538926
20150930,20109,20583,20087,20553,6964216
20150925,20405,20487,20270,20409,8127601
20150924,20500,20531,20370,20440,7516784
20150923,20483,20640,20400,20435,7051242
20150922,20661,20757,20579,20709,7182436
20150921,20722,20779,20527,20596,8857338
20150918,20766,21022,20583,20966,8961009
20150917,20939,20957,20796,20813,15129415
20150916,20418,20861,20418,20726,10501439
20150915,20240,20340,20209,20283,7226645
20150914,20414,20422,20131,20235,8333806
20150911,20400,20518,20322,20348,6563752
20150910,20305,20531,20244,20400,18541134
20150909,20040,20435,20031,20435,8073853
20150908,19848,19879,19722,19840,5501401
20150907,19805,19953,19740,19801,6895774
20150904,20035,20074,19788,19848,6667464
20150903,20066,20122,19970,20018,5744645
20150902,19727,20083,19722,19979,4861195
20150901,20101,20170,19927,19935,7371182
20150831,20087,20140,19983,20135,8006196
20150828,20044,20161,20022,20161,12887811
20150827,19879,19988,19775,19874,13668767
20150826,19283,19801,19183,19757,17650021
20150825,19353,19588,18975,19392,27098209
20150824,19596,19688,18879,19327,24151032
20150821,19696,19857,19648,19788,17036944
20150820,20283,20305,20101,20101,11226930
20150819,20440,20492,20240,20309,11748458
20150818,20544,20592,20457,20466,9075734
20150817,20722,20722,20487,20500,6354760
20150813,20548,20692,20505,20666,10295283
20150812,20644,20753,20440,20574,10453620
20150811,20909,21039,20700,20700,8270087
20150810,20796,20831,20709,20792,7767346
20150807,20813,20883,20753,20848,11281896
20150806,21161,21174,20887,20887,6851896
20150805,21096,21196,21044,21122,5512320
20150804,21009,21118,21005,21109,8018852
20150803,21166,21166,20966,21018,12724500
20150731,21200,21235,21026,21131,11746274
20150730,21400,21435,21196,21196,5653577
20150729,21382,21421,21304,21391,5148178
20150728,21204,21335,21117,21304,5465017
20150727,21130,21308,21100,21265,12328363
20150724,21361,21382,21187,21226,5657843
20150723,21508,21526,21374,21469,10359459
20150722,21547,21604,21404,21478,6676707
20150721,21626,21786,21552,21665,4506184
20150720,21652,21756,21556,21621,4424370
20150717,21882,21913,21600,21656,5348000
20150716,21591,21786,21591,21786,5488686
20150715,21639,21821,21539,21626,6438655
20150714,21704,21704,21500,21561,6315808
20150713,21434,21734,21382,21665,4846257
20150710,21482,21504,21343,21434,7806756
20150709,21169,21417,21017,21417,14285069
20150708,21565,21595,21274,21274,9121945
20150707,21634,21660,21443,21569,11576222
20150706,21804,21943,21513,21526,6046381
20150703,22125,22160,21986,22073,4390735
20150702,22134,22204,22112,22139,4151674
20150701,21843,22130,21791,22112,5555323
20150630,21713,21865,21695,21865,5319699
20150629,21856,21856,21660,21773,8135341
20150626,21969,22108,21886,22056,5429277
20150625,21991,22091,21952,22043,5405567
